P（場所・人物・もの）,O（触れる物体）,A(動作）,D（難問）,AP（オールプレイ）
騎士,ギター,注入,錬金術,てんぷら
刺青,ピストル,組む,泣き虫,バーゲン
遠足,木,書く,人工心臓,レコード
昆虫,はみがき粉,お辞儀,スイミングクラブ,Wii U
夏目漱石,シーツ,説教,異星人,ドラゴンクエスト
野口英世,机,懐かしむ,ゴビ砂漠,天地
福沢諭吉,温度計,捉える,アニメソング,みかん
樋口一葉,サドル,凍る,本物,苺
銀座,ちらし,舐める,謎,虹
執事,レンズ,怯える,音速,せんべい
チンパンジー,ロッカー,出発,非売品,天狗
ライト兄弟,コピー機,連射,活躍,河童
大学,ばね,踏む,方言,エリマキトカゲ
失恋,水鉄砲,観る,市長,急流
果樹園,豆,迎える,パーセント,カレーライス
学生,ズボン,飲む,純粋,羊羹
魔術士,フリル,変身,貧乏,サンドイッチ
軌道,竹馬,燃える,豊富,串団子
妖精,氷山,萌える,大変,コロッケ
四次元,バナナ,頼む,高価,パエリア
東京ビッグサイト,たまねぎ,生える,ビジネス,おでん
光線,ハンバーガー,話す,サバンナ,シチュー
師匠,ベルト,描く,母性,肉じゃが
師弟,かき氷,引っ掻く,正確,炒飯
死刑,バイオリン,渋る,性格,ハンバーグ
嵐,ハンモック,ほぐす,未知,しゃぶしゃぶ
陸軍,スパゲッティ,気付く,被害,茶碗蒸し
歴史,バット,叫ぶ,静寂,スープ
彗星,ソファー,ほとばしる,興味,焼売
遺伝子,パソコン,怒る,権力,PlayStation 4
魔法陣,体操服,壊す,大袈裟,アスパラ
プログラム,ふろしき,足す,刺激,唐辛子
円周率,トラクター,引く,奇妙,タマゴ
夏祭り,栗,掛ける,不快,タッチパネル
クリームソーダ,水,割る,哀愁,クレジットカード
テトリス,オムライス,転ぶ,陳腐,マンホール
ぷよぷよ,飛行機,泣く,自由,モグラたたき
折り紙,カセットテープ,走る,窮屈,パラシュート
校長先生,おたまじゃくし,回る,使う,ヘルメット
サラリーマン,タンス,並ぶ,申請,蛸（タコ）
音楽室,ひげ,見る,計画,イカ
美術室,同人誌,座る,過ごす,油
日本,ロケット,踊る,翻訳,船
殿様,メガネ,聴く,努力,ピンボール
スチュワーデス,ロボット,来る,支持,風船
医者,ワンピース,立つ,保証,パスワード
美容師,包帯,答える,警告,インターネット
教授,宝石,尋ねる,浪費,地震
システムエンジニア,薔薇,触れる,生命,台風
弁護士,和服,閉める,勇気,削除
イヌ,アドバルーン,置く,親切,アスキーアート
ネコ,DVD,呼ぶ,正直,エネルギー
キツネ,ブルーレイディスク,開ける,真実,都市
ブタ,魚,見せる,助言,就職
ラッコ,トランプ,投げる,哲学,学習
カバ,宝箱,歌う,経験,アルバイト
リス,プリンタ,読む,情報,映画
馬,カレンダー,取る,うながす,占い
虎,財布,受ける,習慣,iPhone
亀,自転車,落とす,打ち切り,カメラ
アヒル,消しゴム,落ちる,輸入,電池
ダチョウ,はさみ,寝る,琥珀,キノコ
パンダ,キーボード,食べる,賄賂,ラーメン
ゾウ,マウス,切る,無駄,ざるそば
イルカ,USBケーブル,運ぶ,需要,うどん
イモリ,マイク,発表する,ヒント,寿司
コウモリ,スピーカー,乗る,祝福,親子丼
ウシ,テーブル,笑う,合鍵,カツ丼
ヘビ,いす,頷く,頭金,焼肉
ライオン,ピアノ,起きる,因果,たこ焼き
ニワトリ,フルート,叩く,印象,お好み焼き
ゴリラ,トランペット,渡す,引用,日記
アルパカ,腕時計,保持する,違和感,通信販売
フラミンゴ,リボン,拭く,裏技,煙草
カマキリ,剣,去る,裏声,コンビニエンスストア
アザラシ,刀,滑る,運気,文房具
サイ,タオル,吠える,塩分,しりとり
クマ,歯ブラシ,振る,仮定,左利き
